Tweet ID,Label
1556394598150422528,0
1556348956787019778,1
1556369996326084608,0
1556346056388009989,1
1556388136065740800,0
1556345497404579840,1
1556411641939369984,0
1556344123073986564,1
1556410426367385602,0
1556342567410642945,1
1556341903330885637,0
1556341290241064966,1
1556368172952854528,0
1556338715542183936,1
1556413096662405121,0
1556336938008788992,1
1556404636369620992,0
1556335954842886145,1
1556383890130014209,0
1556334597478223872,1
1556413332877459456,0
1556331405428363265,1
1556393724212645890,0
1556327194636566528,1
1556351636955709448,0
1556324226747047938,1
1556392003981545472,0
1556321569474940929,1
1556405022484840448,0
1556319481126944769,1
1556391334977626113,0
1556315945353764865,1
1556361950870863872,0
1556299876589240320,1
1556403556189552642,0
1556294469493723136,1
1556409789462233088,0
1556290988645224449,1
1556401226270576640,0
1556286402593280000,1
1556379716973727744,0
1556284129196421120,1
1556401820389543938,0
1556282992342990848,1
1556374520608329728,0
1556281557878337536,1
1556317772799410176,0
1556278437052022784,1
1556352469881470976,0
1556275882662440960,1
1556394837682929678,0
1556266428751306752,1
1556260888717541376,0
1556259636273111041,1
1556413243404365824,0
1556256753305628674,1
1556320179436470274,0
1556252909444014081,1
1556402563565731842,0
1556248165732519937,1
1556390120953085953,0
1556248015945535490,1
1556399614256898048,0
1556241410545836033,1
1556236662149111808,0
1556233449744334849,1
1556364224959582215,0
1556228196428832768,1
1556295116628938752,0
1556226866637410304,1
1556393324407398400,0
1556209188614934529,1
1556384819092738048,0
1556202173792387073,1
1556387682787393537,0
1556194325637353472,1
1556334910348005376,0
1556173748302381062,1
1556313815129677824,0
1556169994634944513,1
1556408821018497025,0
1556141126419111936,1
1556371111218233349,0
1556140016417574912,1
1556193929011564544,0
1556130707231350784,1
1556374748333936640,0
1556125707851292672,1
1556346095936102401,0
1556120395987705856,1
1556377012754960388,0
1556119568027885569,1
1556351591770427392,0
1556119015801634816,1
1556114452491247616,0
1556113660078161920,1
1556370801145745408,0
1556103574592991233,1
1556402250733342720,0
1556102966758612993,1
1556183925659422721,0
1556097320294715392,1
1556402875097497601,0
1556089866479251458,1
1556271195573653505,0
1556087270289162240,1
1556086081476562944,0
1556085398228566016,1
1556415244330602496,0
1556082829565448193,1
1556389830883508225,0
1556075879100563456,1
1556378267942359040,0
1556065670718230529,1
1556095022042333184,0
1556059993719316481,1
1556310491387027459,0
1556050370442530816,1
1556413199536119809,0
1556048409169080320,1
1556400119230111747,0
1556048045304856583,1
1556369670495784961,0
1556045708549144576,1
1556346153641320448,0
1556040585580011521,1
1556406280612302848,0
1556036419092549632,1
1556406221804036100,0
1556025650632396800,1
1556391160733732864,0
1556012501459996673,1
1556388727290826753,0
1556011172910010369,1
1556411972928778240,0
1556000403493269504,1
1556294294104850432,0
1555990581326893058,1
1556386479705886724,0
1555988320294952962,1
1556144205491105793,0
1555984774086307840,1
1556397495600783366,0
1555982208397189120,1
1556404770654519301,0
1555976754333990918,1
1556364250632916992,0
1555975817213140994,1
1556334393165168640,0
1555972768398659585,1
1556378346136543232,0
1555968271513292800,1
1556371061419216896,0
1555968222960263168,1
1555995192242708480,0
1555965183842914305,1
1556335036466696192,0
1555962096004857858,1
1556300409647538176,0
1555959006077894661,1
1556309768850903041,0
1555953613964320768,1
1556315020396339201,0
1555951268681506817,1
1556088166163030016,0
1555948908391665668,1
1556233225197850625,0
1555948339811602432,1
1556298608223436807,0
1555948145699340294,1
1556415346881470465,0
1555944619912974337,1
1556361543830446084,0
1555943977894944770,1
1556413761484836864,0
1555927083519545350,1
1556243658382475275,0
1555926869513469953,1
1556187167797514240,0
1555917049712492544,1
1556287354507247617,0
1555901680264384513,1
1556365448505065474,0
1555894645758074883,1
1556240790925758464,0
1555885489151811584,1
1556284675378892801,0
1555880602104221696,1
1556243665772859399,0
1555878620786196483,1
1555941167036268544,0
1555858068105478144,1
1556395283218681856,0
1555854696883036160,1
1556239477047189505,0
1555853621195149314,1
1556409542040100864,0
1555829923402567681,1
1556416168352796676,0
1555826266971979777,1
1555892763446706176,0
1555814649878175745,1
1556414634109837315,0
1555813171000115200,1
1556391830325018628,0
1555810462872240128,1
1555841244261101568,0
1555810288691298305,1
1556306965806063616,0
1555810148039499777,1
1556138278176391168,0
1555800747719249921,1
1556310529332940802,0
1555794555760390144,1
1556163088830722048,0
1555780438253129729,1
1556370378024419328,0
1555779769534398467,1
1556113188772528130,0
1555774700491620352,1
1556416012718940164,0
1555773939938430976,1
1555999041703612416,0
1555753814447243264,1
1556401225934979077,0
1555752740323745794,1
1556334024192172033,0
1555752107361259520,1
1556196157986062336,0
1555748806720880640,1
1556401490671112194,0
1555742378950017024,1
1556352707769688064,0
1555738637072941058,1
1556392587212226562,0
1555738026386620417,1
1556401135921111041,0
1555737950897545217,1
1555873397179285504,0
1555733535113129984,1
1556310114109255680,0
1555732541776072705,1
1556417836653985794,0
1555729860483596291,1
1556392499324899331,0
1555727721350795266,1
1556410715849850880,0
